Comment,Designator,Footprint,LCSC Part #
1.0k,R62,R0603,
1.5k,R40,R0603,
1N4148W-7,D1 D2 D3 D4 D5 D6,SOD123,
1N5819HW,D11 D100 D200,SOD123,
1n,C3 C4,C0603,
1n4004,D7 D8 D9 D10,DO-214AC,
2n3904,Q1,SOT23-3,
4.7u,C100 C200,PANASONIC_A,
10k,R7 R8 R29 R38 R46,R0603,
10u,C15 C16,PANASONIC_A,
15k,R13 R14 R22 R26 R39,R0603,
18p,C29 C32,C0603,
20k,R66,R0603,
30k,R3 R5 R15 R16 R19 R20 R23 R24 R25 R27 R28 R32 R33 R34 R47 R48,R0603,
47k (was 62k),R18,R0603,
51k,R1 R2 R4 R6 R30 R35 R41 R42 R43,R0603,
62k,R21,R0603,
100k,R11 R12 R17 R31 R44 R45 R63 R64 R65,R0603,
100n,C5 C11 C12 C13 C14 C17 C18 C19 C20 C21 C22 C23 C24 C25 C26 C27 C28 C30 C31,C0603,
150k,R36,R0603,
220p,C7 C8 C10,C0603,
470k,R50,R0603,
510,R9 R10 R37 R49,R0603,
560p,C1 C2 C6 C9,C0603,
4021D,IC1,SO16,
SSM2164S,IC3,SOIC16N,
TL072D,IC4 IC9,SO08,
TL074D,IC2 IC5 IC6,SO14,
