Designator,Mid X,Mid Y,Layer,Rotation
C1,26.62,90.81,Top,0.0
C2,22.23,85.73,Top,180.0
C3,40.64,91.44,Top,0.0
C4,35.56,81.92,Top,270.0
C5,53.34,63.50,Top,90.0
C6,69.85,71.76,Top,0.0
C7,59.69,56.52,Top,0.0
C8,57.15,59.05,Top,270.0
C9,14.61,67.95,Top,0.0
C10,34.29,59.69,Top,180.0
C11,74.30,41.27,Top,90.0
C12,44.45,41.27,Top,90.0
C13,66.67,41.27,Top,270.0
C14,53.34,41.27,Top,270.0
C15,62.87,43.18,Top,90.0
C16,57.79,43.18,Top,270.0
C17,35.56,86.36,Top,90.0
C18,45.72,87.63,Top,270.0
C19,69.22,89.54,Top,0.0
C20,56.52,84.45,Top,0.0
C21,17.78,92.71,Top,180.0
C22,22.25,79.17,Top,180.0
C23,24.79,65.07,Top,0.0
C24,12.07,58.42,Top,270.0
C25,57.15,62.23,Top,180.0
C26,69.29,62.84,Top,270.0
C27,34.29,61.60,Top,180.0
C28,46.99,62.23,Top,180.0
C29,11.58,40.54,Top,180.0
C30,22.91,42.82,Top,0.0
C31,11.56,36.40,Top,0.0
C32,22.89,36.58,Top,0.0
C100,74.60,36.50,Top,180.0
C200,57.79,15.88,Top,180.0
D1,45.72,83.19,Top,90.0
D2,31.75,85.73,Top,270.0
D3,47.63,83.19,Top,270.0
D4,33.66,85.73,Top,90.0
D5,73.03,64.14,Top,270.0
D6,75.56,64.14,Top,90.0
D7,69.09,45.26,Top,180.0
D8,64.31,38.28,Top,180.0
D9,53.70,36.35,Top,180.0
D10,42.27,36.45,Top,180.0
D11,18.54,77.83,Top,90.0
D100,65.61,35.97,Top,180.0
D200,65.31,15.88,Top,180.0
IC1,17.78,61.60,Top,270.0
IC2,40.64,85.09,Top,270.0
IC3,15.88,85.73,Top,270.0
IC4,62.87,87.63,Top,270.0
IC5,40.64,62.23,Top,270.0
IC6,63.50,62.23,Top,270.0
IC9,17.22,39.65,Top,270.0
Q1,40.77,51.51,Top,90.0
R1,50.16,90.81,Top,180.0
R2,41.27,79.38,Top,180.0
R3,26.67,88.72,Top,180.0
R4, 8.94,90.40,Top,0.0
R5,24.10,69.65,Top,180.0
R6, 6.48,64.67,Top,0.0
R7,22.23,87.63,Top,180.0
R8,15.88,79.38,Top,0.0
R9,22.23,89.54,Top,180.0
R10,22.23,83.82,Top,180.0
R11,22.23,91.44,Top,0.0
R12,22.23,81.92,Top,0.0
R13,69.22,83.82,Top,180.0
R14,56.52,87.00,Top,0.0
R15,69.22,85.73,Top,0.0
R16,56.52,89.54,Top,0.0
R17,69.22,87.63,Top,0.0
R18,44.88,18.80,Top,180.0
R19,10.79,62.87,Top,0.0
R20,37.77,53.04,Top,180.0
R21,37.72,55.45,Top,0.0
R22,46.99,59.69,Top,0.0
R23,10.79,64.77,Top,0.0
R24,24.77,62.87,Top,180.0
R25,37.47,49.53,Top,90.0
R26,24.77,60.96,Top,180.0
R27,24.77,59.05,Top,0.0
R28,24.77,57.15,Top,180.0
R29, 6.43,62.51,Top,0.0
R30,57.15,64.77,Top,0.0
R31,57.15,68.58,Top,0.0
R32,57.15,66.67,Top,180.0
R33,61.60,68.58,Top,0.0
R34,65.41,68.58,Top,0.0
R35,59.69,72.39,Top,270.0
R36,62.23,72.39,Top,270.0
R37,69.85,69.85,Top,180.0
R38,34.29,67.31,Top,180.0
R39,69.85,67.95,Top,180.0
R40, 6.22,42.44,Top,0.0
R41,63.50,53.98,Top,0.0
R42,31.12,17.78,Top,0.0
R43,30.76,43.15,Top,0.0
R44,34.29,63.50,Top,0.0
R45,63.50,56.52,Top,180.0
R46,73.66,59.69,Top,0.0
R47, 8.89,88.27,Top,0.0
R48,34.29,65.41,Top,180.0
R49,14.61,69.85,Top,0.0
R50,24.23,67.28,Top,0.0
R62, 4.11,15.16,Top,0.0
R63,11.58,42.62,Top,0.0
R64,11.58,38.48,Top,180.0
R65,22.91,40.72,Top,180.0
R66,22.91,38.66,Top,180.0
